Company,Sector,Industry Sub-sector,Public / Private,HQ City,Founded Year,Company Age (Yrs),Num Employees,Company Size Bucket,Annual Revenue ($B),Market Cap ($B),Fortune 500 Rank,Is Fortune 500?,DiversityInc Top 50?
Unilever,CPG/Retail,Consumer Goods,Public,London (US: Englewood Cliffs NJ),1929.0,96.0,127000.0,Enterprise (50K+),62.0,100.0,,No,No
E.L.F Cosmetics,CPG/Retail,Beauty / Cosmetics,Public,Oakland CA,2004.0,21.0,1300.0,Mid (1K-10K),1.0,7.0,,No,No
Under Armour,CPG/Retail,Athletic Apparel,Public,Baltimore MD,1996.0,29.0,16400.0,Large (10K-50K),5.7,5.0,,No,No
The Coca-Cola Company,CPG/Retail,Beverages,Public,Atlanta GA,1886.0,139.0,79000.0,Enterprise (50K+),45.8,270.0,93.0,Yes,Yes
Restaurant Brands International,CPG/Retail,Quick-Service Restaurants,Public,Toronto (US: Miami FL),2014.0,11.0,4000.0,Mid (1K-10K),7.0,10.0,,No,No
Macy's,CPG/Retail,Department Stores / Retail,Public,New York NY,1858.0,167.0,85000.0,Enterprise (50K+),23.1,5.0,140.0,Yes,No
Home Depot,CPG/Retail,Home Improvement Retail,Public,Atlanta GA,1978.0,47.0,475000.0,Enterprise (50K+),157.4,400.0,17.0,Yes,Yes
"Wal-Mart Stores, Inc.",CPG/Retail,Mass Retail,Public,Bentonville AR,1962.0,63.0,2100000.0,Enterprise (50K+),611.3,550.0,1.0,Yes,Yes
The Walt Disney Company,Media/Entertainment,Media Conglomerate,Public,Burbank CA,1923.0,102.0,220000.0,Enterprise (50K+),88.9,200.0,53.0,Yes,Yes
NBC Universal,Media/Entertainment,Media / Broadcasting (Comcast),Public (Comcast),New York NY,2004.0,21.0,35000.0,Large (10K-50K),40.0,,,No,No
Creative Artists Agency (CAA),Media/Entertainment,Talent Agency,Private,Los Angeles CA,1975.0,50.0,3000.0,Mid (1K-10K),1.0,,,No,No
National Football League - NFL,Media/Entertainment,Professional Sports,Nonprofit,New York NY,1920.0,105.0,15000.0,Large (10K-50K),18.7,,,No,No
National Basketball Association - NBA,Media/Entertainment,Professional Sports,Nonprofit (Assoc.),New York NY,1946.0,79.0,5000.0,Mid (1K-10K),10.0,,,No,No
Paramount Pictures,Media/Entertainment,Film / Streaming,Public,Hollywood CA,1912.0,113.0,22000.0,Large (10K-50K),29.6,,,No,No
Medtronic,Healthcare/Pharma,Medical Devices,Public,Dublin (US: Minneapolis MN),1949.0,76.0,95000.0,Enterprise (50K+),32.0,110.0,82.0,Yes,No
Abbott,Healthcare/Pharma,Medical Devices / Diagnostics,Public,Abbott Park IL,1888.0,137.0,114000.0,Enterprise (50K+),40.1,200.0,72.0,Yes,No
Johnson & Johnson,Healthcare/Pharma,Pharma / MedDevice / Consumer,Public,New Brunswick NJ,1886.0,139.0,131900.0,Enterprise (50K+),85.2,380.0,36.0,Yes,Yes
CVS Health,Healthcare/Pharma,Pharmacy / Health Services,Public,Woonsocket RI,1963.0,62.0,300000.0,Enterprise (50K+),357.8,95.0,6.0,Yes,Yes
United Health Group (UHG),Healthcare/Pharma,Health Insurance / Services,Public,Minnetonka MN,1977.0,48.0,400000.0,Enterprise (50K+),371.6,510.0,5.0,Yes,Yes
Boeing,Industrial/Defense,Aerospace / Defense,Public,Arlington VA,1916.0,109.0,170000.0,Enterprise (50K+),77.8,100.0,35.0,Yes,No
Lockheed Martin Aeronautics Co,Industrial/Defense,Aerospace / Defense,Public,Bethesda MD,1926.0,99.0,122000.0,Enterprise (50K+),67.6,130.0,44.0,Yes,No
Honeywell,Industrial/Defense,Diversified Industrial,Public,Charlotte NC,1906.0,119.0,97000.0,Enterprise (50K+),36.7,135.0,107.0,Yes,No
General Electric Company (GE),Industrial/Defense,Diversified Industrial / Aviation,Public,Boston MA,1892.0,133.0,125000.0,Enterprise (50K+),68.0,200.0,57.0,Yes,No
Northrop Grumman,Industrial/Defense,Aerospace / Defense,Public,Falls Church VA,1939.0,86.0,95000.0,Enterprise (50K+),39.3,80.0,100.0,Yes,No
General Motors Corporation,Industrial/Defense,Automotive,Public,Detroit MI,1908.0,117.0,167000.0,Enterprise (50K+),171.8,55.0,25.0,Yes,Yes
ExxonMobil Corp.,Industrial/Defense,Oil & Gas,Public,Spring TX,1999.0,26.0,62000.0,Enterprise (50K+),344.6,460.0,7.0,Yes,No
Chevron Corporation,Industrial/Defense,Oil & Gas,Public,San Ramon CA,1879.0,146.0,43000.0,Large (10K-50K),196.9,275.0,12.0,Yes,No
Cargill,Industrial/Defense,Agriculture / Food Trading,Private,Wayzata MN,1865.0,160.0,160000.0,Enterprise (50K+),160.0,,,No,No
UPS,Industrial/Defense,Logistics / Package Delivery,Public,Atlanta GA,1907.0,118.0,500000.0,Enterprise (50K+),91.1,95.0,39.0,Yes,Yes
Delta Airlines,Industrial/Defense,Airlines,Public,Atlanta GA,1924.0,101.0,95000.0,Enterprise (50K+),58.0,35.0,64.0,Yes,Yes
NIQ,Consulting,Market Research / Data Analytics,Public,Chicago IL,1923.0,102.0,30000.0,Large (10K-50K),6.4,8.0,,No,No
AT&T,Technology,Telecommunications,Public,Dallas TX,1983.0,42.0,150000.0,Enterprise (50K+),122.4,130.0,13.0,Yes,Yes
Sponsors for Educational Opportunity (SEO),Nonprofit,Education / Career Access,Nonprofit,New York NY,1963.0,62.0,300.0,Small (<1K),,,,No,No
Management Leadership for Tomorrow (MLT),Nonprofit,Leadership Development,Nonprofit,New York NY,2002.0,23.0,100.0,Small (<1K),,,,No,No
JP Morgan Chase,Finance/Fintech,Banking / Investment Banking,Public,New York NY,1799.0,226.0,309000.0,Enterprise (50K+),162.4,560.0,8.0,Yes,Yes
[not provided],Unknown,Unknown,Unknown,Unknown,,,,,,,,No,No
Hilton,CPG/Retail,Hospitality,Public,McLean VA,1919.0,106.0,178000.0,Enterprise (50K+),10.2,55.0,174.0,Yes,Yes
Arsenal Capital Partners,Finance/Fintech,Private Equity,Private,New York NY,2000.0,25.0,200.0,Small (<1K),,,,No,No
