company_name,primary_track,pct_corporate_mgmt,pct_tech,pct_finance,pct_consulting,company_selectivity_rate,role_competition_ratio,historical_offer_rate_by_major,school_target_status,internship_conversion_rate,hiring_cycle_timing,recruiter_capacity_load,diversity_initiative_flag,offer_budget_remaining,interview_stage_depth,company_growth_rate,role_priority_level,manager_hiring_history,geographic_hiring_demand,application_channel
UBS,Finance,0.0,0.0,0.625,0.25,0.0851,1.74,0.9167,1.2667,0.7674,2024,3.13,0,0.9564,0.5745,3.6667,0.9149,21,7,2
Bank of America,Finance,0.0682,0.1591,0.5227,0.1591,0.0915,1.33,0.899,1.1923,0.651,2024,9.65,0,0.9215,0.75,1.0345,0.9085,21,8,2
BlackRock,Finance,0.3636,0.0909,0.2727,0.2727,0.1489,1.07,0.8378,1.0638,0.725,2024,4.7,0,0.8545,0.9362,2.2222,0.8511,11,6,2
Delta Air Lines,Finance,0.125,0.25,0.375,0.25,0.2,1.0,1.0,0.9,0.875,2024,2.5,0,0.9375,1.0,8.0,0.8,5,3,2
Wells Fargo,Finance,0.1471,0.0294,0.5882,0.1765,0.2071,1.85,0.7597,1.0207,0.6178,2024,14.14,0,1.187,0.5404,4.6429,0.7929,21,8,2
Citi,Finance,0.3133,0.1325,0.3735,0.1747,0.5274,3.04,0.4219,1.0795,0.7121,2024,19.95,0,0.3801,0.3294,5.7059,0.4726,22,9,2
Cambridge Associates,Finance,0.2903,0.2903,0.1613,0.1935,0.7812,6.4,0.3571,0.7812,0.5714,2024,16.0,1,0.8848,0.1562,0.0,0.2188,3,7,2
Boston Consulting Group,Consulting,0.436,0.14,0.156,0.188,0.2691,1.74,0.6926,1.1003,0.7516,2024,44.86,0,1.0087,0.5732,1.6583,0.7309,18,9,0
Oliver Wyman,Consulting,0.3548,0.0968,0.0968,0.4516,0.3409,2.44,0.7037,1.0227,0.4483,2024,4.89,0,0.9483,0.4091,5.8,0.6591,12,8,2
Deloitte,Consulting,0.3725,0.1797,0.1601,0.2222,0.4141,2.15,0.5971,1.1237,0.7759,2024,34.94,0,0.6004,0.4646,1.4155,0.5859,20,9,2
Bain & Company,Consulting,0.3448,0.0,0.0345,0.6207,0.5051,3.84,0.4662,1.1888,0.8866,2024,16.33,0,1.315,0.2602,1.9535,0.4949,18,8,2
Kearney,Consulting,0.3727,0.155,0.2066,0.2657,0.9109,19.52,0.0809,1.0854,0.675,2024,64.14,1,0.4023,0.0512,3.1205,0.0891,8,9,2
The Chartis Group,Consulting,0.1852,0.3704,0.1111,0.3333,0.9286,14.0,0.125,1.1429,0.0,2024,14.0,1,1.037,0.0714,0.0,0.0714,3,8,2
Marsh & McLennan,Consulting,0.3972,0.1773,0.2411,0.1844,0.9787,9.4,0.0288,1.1844,0.6667,2024,70.5,1,1.0,0.1064,0.0,0.0213,2,8,2
